,bins,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,22.11,22.8,22.37,22.28,21.959999999999997,23.470000000000002,22.37,22.7,22.599999999999998,21.28,21.990000000000002,20.92,21.380000000000003,21.720000000000002,21.09,20.660000000000004
1,1e-05,0.1,0.09,0.23,0.10999999999999999,0.13999999999999999,0.06,0.06,0.10999999999999999,0.06,0.1,0.13,0.15,0.17,0.13,0.13,0.2
2,0.00904482,396.91,396.96,395.73999999999995,396.84000000000003,398.6,396.51,396.72,393.74,392.73999999999995,394.44,394.39,393.57000000000005,394.40000000000003,389.85,392.98,389.11
3,0.0180796,535.72,533.6,537.0500000000001,535.47,535.13,536.77,536.51,539.62,534.74,536.58,537.2,535.9499999999999,535.88,535.56,536.85,534.49
4,0.0271145,579.94,581.9,582.71,581.05,583.51,583.21,585.09,584.46,582.44,588.3,585.2099999999999,584.31,582.2099999999999,582.91,586.4,586.15
5,0.0361493,657.2800000000001,656.27,654.42,655.9100000000001,656.0699999999999,654.59,655.4200000000001,658.01,660.76,658.9,658.7099999999999,658.91,655.14,658.48,660.1700000000001,663.33
6,0.0451841,819.34,822.41,821.14,824.52,829.3,830.18,829.4899999999999,831.92,836.57,843.35,847.09,850.96,856.88,859.37,876.63,879.03
7,0.0542189,1847.0,1841.9,1840.32,1836.46,1839.66,1841.56,1843.6000000000001,1843.22,1835.97,1844.15,1842.37,1852.9399999999998,1851.9899999999998,1854.24,1856.3999999999999,1868.53
8,0.0632538,3435.12,3434.02,3438.41,3426.46,3416.29,3399.74,3401.12,3375.75,3366.9,3356.9900000000002,3352.87,3322.56,3330.16,3320.18,3311.71,3298.58
9,0.0722886,2137.02,2134.84,2125.01,2124.37,2129.0,2119.48,2115.24,2120.92,2107.24,2105.22,2105.69,2099.23,2091.75,2093.87,2073.44,2073.88
10,0.0813234,1933.08,1924.39,1928.6699999999998,1930.81,1916.12,1918.31,1916.5100000000002,1905.83,1896.0400000000002,1893.5,1888.17,1872.44,1864.8300000000002,1861.02,1847.09,1837.5800000000002
11,0.0903582,1918.62,1912.63,1909.8600000000001,1899.15,1899.78,1898.74,1892.1000000000001,1874.6999999999998,1870.12,1859.8799999999999,1848.54,1837.3700000000001,1817.9099999999999,1800.77,1792.22,1777.06
12,0.0993931,1857.63,1854.95,1848.3700000000001,1841.91,1841.84,1828.6100000000001,1823.52,1817.66,1803.9799999999998,1787.6000000000001,1781.55,1768.02,1751.6,1727.6499999999999,1715.74,1690.73
13,0.108428,1819.3899999999999,1805.93,1803.39,1799.74,1792.36,1786.1,1786.95,1776.41,1760.1499999999999,1747.57,1729.43,1710.32,1697.76,1674.95,1654.83,1640.26
14,0.117463,1785.1499999999999,1775.29,1771.1699999999998,1766.41,1759.1699999999998,1750.1,1752.6,1734.81,1721.85,1709.8600000000001,1692.2,1681.1699999999998,1659.78,1644.9999999999998,1625.33,1598.2
